Date;Close
20-02-2025;30.370
19-02-2025;30.760
18-02-2025;31.000
14-02-2025;30.910
13-02-2025;30.930
12-02-2025;30.530
11-02-2025;30.570
10-02-2025;30.850
07-02-2025;30.570
06-02-2025;30.650
05-02-2025;30.560
04-02-2025;30.210
31-01-2025;30.170
30-01-2025;30.140
29-01-2025;29.820
28-01-2025;29.880
27-01-2025;28.990
24-01-2025;31.180
23-01-2025;31.300
22-01-2025;31.270
21-01-2025;30.610
17-01-2025;30.120
16-01-2025;29.690
15-01-2025;29.620
14-01-2025;29.000
13-01-2025;28.920
10-01-2025;29.280
08-01-2025;29.690
07-01-2025;29.730
06-01-2025;30.340
03-01-2025;29.780
02-01-2025;29.200
31-12-2024;28.990
30-12-2024;29.270
24-12-2024;30.010
23-12-2024;29.680
20-12-2024;29.370
19-12-2024;29.110
18-12-2024;29.160
17-12-2024;30.320
16-12-2024;30.670
13-12-2024;30.180
12-12-2024;29.860
11-12-2024;29.900
10-12-2024;29.260
09-12-2024;29.750
06-12-2024;30.240
05-12-2024;29.930
04-12-2024;30.020
03-12-2024;29.410
02-12-2024;29.020
29-11-2024;28.680
27-11-2024;28.430
26-11-2024;28.840
25-11-2024;28.790
22-11-2024;28.880
21-11-2024;28.780
20-11-2024;28.470
19-11-2024;28.490
18-11-2024;27.950
15-11-2024;27.960
14-11-2024;28.500
13-11-2024;28.800
12-11-2024;28.960
11-11-2024;29.080
08-11-2024;29.310
07-11-2024;29.200
06-11-2024;28.590
05-11-2024;27.820
04-11-2024;27.300
01-11-2024;27.310
31-10-2024;27.250
30-10-2024;28.000
29-10-2024;28.180
25-10-2024;27.890
24-10-2024;27.760
23-10-2024;27.660
22-10-2024;28.080
21-10-2024;28.230
18-10-2024;28.050
17-10-2024;27.920
16-10-2024;27.880
15-10-2024;27.920
14-10-2024;28.490
11-10-2024;28.360
10-10-2024;28.140
09-10-2024;28.080
08-10-2024;27.800
07-10-2024;27.480
04-10-2024;27.540
03-10-2024;27.170
02-10-2024;26.960
01-10-2024;26.940
30-09-2024;27.300
27-09-2024;27.510
26-09-2024;27.670
25-09-2024;27.320
24-09-2024;27.140
23-09-2024;26.900
20-09-2024;26.770
19-09-2024;26.750
18-09-2024;25.970
17-09-2024;26.120
16-09-2024;26.210
13-09-2024;26.280
12-09-2024;26.130
11-09-2024;25.640
10-09-2024;24.970
09-09-2024;24.860
06-09-2024;24.720
05-09-2024;25.290
04-09-2024;25.330
03-09-2024;25.670
30-08-2024;26.820
29-08-2024;26.560
28-08-2024;26.750
27-08-2024;26.990
23-08-2024;27.360
22-08-2024;27.070
21-08-2024;27.500
20-08-2024;27.420
19-08-2024;27.440
16-08-2024;27.170
15-08-2024;26.930
14-08-2024;26.360
13-08-2024;26.260
12-08-2024;25.530
09-08-2024;25.410
08-08-2024;25.180
07-08-2024;24.500
